"","Counterparty.country","X1977.Q4","X1978.Q4","X1979.Q4","X1980.Q4","X1981.Q4","X1982.Q4","X1983.Q4","X1984.Q4","X1985.Q4","X1986.Q4","X1987.Q4","X1988.Q4","X1989.Q4","X1990.Q4","X1991.Q4","X1992.Q4","X1993.Q4","X1994.Q4","X1995.Q4","X1996.Q4","X1997.Q4","X1998.Q4","X1999.Q4","X2000.Q4","X2001.Q4","X2002.Q4","X2003.Q4","X2004.Q4","X2005.Q4","X2006.Q4","X2007.Q4","X2008.Q4","X2009.Q4","X2010.Q4","X2011.Q4","X2012.Q4","X2013.Q4","X2014.Q4","X2015.Q4","X2016.Q4","X2017.Q4","X2018.Q4"
"1","World",27847.6960325614,27847.6960325614,27847.6960325614,27847.6960325614,28364.3759001866,28558.4671881869,29303.3206619173,30613.5472334325,31711.8982915729,32771.2188916951,33935.9495765567,35483.6000983268,36774.0120502561,37767.2129862234,38246.9089201167,38899.412362732,39624.6594473273,40818.639515467,42051.6596354395,43476.9540574327,45081.535835214,46223.0811643898,47730.8271541521,49826.6794100925,50778.01412981,51886.0706139505,53401.4709279984,55762.6038010716,57891.6219859719,60367.7274242193,62907.9641400129,64039.2584881783,62919.3010226041,65620.4494386911,67683.4705830067,69362.1707412899,71165.6706097722,73199.1304600686,75257.1508594453,77076.2531554997,79468.2489180863,79468.2489180863
"2","World LessUSA",21328.0021389201,21328.0021389201,21328.0021389201,21328.0021389201,21676.3247101232,21998.7326751724,22439.3541427851,23250.3713332564,24036.8601966053,24826.6224105656,25716.0292573124,26918.4264947623,27893.7302674204,28717.2539571598,29204.3411423787,29533.8338044062,30001.6754524857,30807.7925304249,31768.3358593136,32804.1181754544,33929.6329893544,34574.8163542151,35535.9781938419,37131.4524831101,37958.790056102,38835.9887320697,39982.4261237532,41834.4848477244,43496.6886641085,45588.1603572518,47865.0513331741,49038.6359390318,48336.4826208204,50669.4300813675,52494.6908648759,53837.1575256884,55380.777382791,57008.5334761888,58603.088095814,60174.7988482118,62182.7692237496,62182.7692237496
"3","North America",7310.49102783203,7310.49102783203,7310.49102783203,7310.49102783203,7507.25897216797,7353.36218261719,7678.08251953125,8224.72967529297,8577.56860351562,8866.75323486328,9179.47473144531,9567.51379394531,9906.22479248047,10078.4906616211,10050.2196044922,10381.0204467773,10665.1606445312,11100.4669189453,11401.8432617188,11810.5487060547,12338.169921875,12880.5681152344,13489.8500976562,14055.8004150391,14203.6550292969,14474.0755615234,14866.1904296875,15418.9578857422,15932.6300048828,16356.8348388672,16652.1989746094,16624.2684326172,16160.0498046875,16577.8435058594,16868.1727294922,17235.3626708984,17537.9637451172,17993.5196533203,18475.2121582031,18748.3383789062,19188.7004394531,19188.7004394531
"4","Canada",781.317687988281,781.317687988281,781.317687988281,781.317687988281,808.688171386719,782.793823242188,803.13525390625,850.723815917969,890.997802734375,910.259582519531,947.547973632812,989.518676757812,1012.51483154297,1014.07757568359,992.521362304688,1001.28509521484,1027.87158203125,1074.05871582031,1102.81884765625,1120.58581542969,1168.544921875,1213.90502929688,1276.58154296875,1342.74279785156,1366.52026367188,1407.65270996094,1433.0224609375,1477.24499511719,1524.53723144531,1564.53210449219,1596.80444335938,1612.77819824219,1565.2080078125,1613.47143554688,1664.15417480469,1693.20153808594,1735.10827636719,1784.65832519531,1802.52075195312,1828.01025390625,1883.71606445312,1883.71606445312
"5","United States",6529.17333984375,6529.17333984375,6529.17333984375,6529.17333984375,6698.57080078125,6570.568359375,6874.947265625,7374.005859375,7686.57080078125,7956.49365234375,8231.9267578125,8577.9951171875,8893.7099609375,9064.4130859375,9057.6982421875,9379.7353515625,9637.2890625,10026.408203125,10299.0244140625,10689.962890625,11169.625,11666.6630859375,12213.2685546875,12713.0576171875,12837.134765625,13066.4228515625,13433.16796875,13941.712890625,14408.0927734375,14792.302734375,15055.39453125,15011.490234375,14594.841796875,14964.3720703125,15204.0185546875,15542.1611328125,15802.85546875,16208.861328125,16672.69140625,16920.328125,17304.984375,17304.984375
"6","Latin America",2319.66011990607,2319.66011990607,2319.66011990607,2319.66011990607,2318.72211538255,2300.14465101063,2239.29658319056,2328.31737565994,2413.69893048704,2530.4503082037,2618.22868591547,2638.77099019289,2677.38942664862,2678.65544191003,2774.14098131657,2850.04000422359,3107.22355911136,3254.24904227257,3301.60551258922,3420.72272932529,3595.45971849561,3677.11475631595,3686.57571649551,3824.9491443038,3856.80673086643,3874.83642214537,3941.69814014435,4184.40907889605,4357.83048000932,4583.45043599606,4833.56488096714,5022.53719231486,4930.53296023607,5226.00782963634,5454.36163875461,5604.88264882565,5763.06231588125,5825.63948816061,5811.92577809095,5731.53733998537,5800.33825793862,5800.33825793862
"7","Cuba",29.9800643920898,29.9800643920898,29.9800643920898,29.9800643920898,35.882640838623,39.0827369689941,41.1976890563965,44.4645462036133,45.1744995117188,45.2175559997559,44.1313514709473,45.7666549682617,46.0779075622559,44.7192687988281,39.937572479248,35.3125610351562,30.0586967468262,30.2741966247559,31.0180950164795,33.4495277404785,34.3805694580078,34.4352836608887,36.5664024353027,38.7292175292969,39.9627571105957,40.5321578979492,42.0694351196289,44.4970664978027,49.4814758300781,55.4518432617188,59.478832244873,61.9274711608887,62.826229095459,64.3280029296875,66.1306610107422,68.1244354248047,69.996223449707,70.7294921875,73.8687057495117,74.2380447387695,75.4258575439453,75.4258575439453
"8","Mexico",428.132690429688,428.132690429688,428.132690429688,428.132690429688,465.691070556641,462.766967773438,443.347900390625,459.353576660156,471.266387939453,453.575408935547,461.992614746094,467.746459960938,487.383850097656,512.0859375,533.70751953125,553.073913574219,719.380249023438,754.925354003906,707.431274414062,755.347351074219,807.064880371094,848.741149902344,872.111694335938,915.215454101562,911.514404296875,911.151184082031,924.329956054688,960.569152832031,982.737182617188,1026.91198730469,1050.44311523438,1062.45593261719,1006.29711914062,1057.80065917969,1096.5478515625,1136.48779296875,1151.87683105469,1184.65100097656,1223.39465332031,1259.0361328125,1284.67749023438,1284.67749023438
"9","OtherCaribbeanCentral America",161.66878952086,161.66878952086,161.66878952086,161.66878952086,162.679213508964,160.958164170384,159.67832185328,164.388971328735,166.067062959075,170.651549577713,178.068574130535,182.260105192661,188.863110125065,189.000219732523,193.525526285172,202.524166554213,211.824113935232,218.196278214455,227.884460896254,234.829573750496,246.331470876932,258.842129439116,270.323778748512,279.817203462124,289.481201171875,296.712864935398,302.630177021027,318.60039716959,327.08219602704,340.736235022545,353.79823076725,360.734582394361,356.137715637684,365.859021872282,376.352725952864,386.862612605095,396.469258010387,407.064047992229,418.897940814495,427.228652536869,435.662531524897,435.662531524897
"10","Antigua Barbuda",0.393900513648987,0.393900513648987,0.393900513648987,0.393900513648987,0.408927500247955,0.40858393907547,0.430500417947769,0.474260807037354,0.510512292385101,0.569189667701721,0.606906294822693,0.63854593038559,0.672084152698517,0.692324936389923,0.707395970821381,0.715589940547943,0.753373622894287,0.803670287132263,0.76863431930542,0.819401264190674,0.864231765270233,0.905121266841888,0.938682198524475,1.00149643421173,0.951881527900696,0.961629748344421,1.01988434791565,1.0783896446228,1.14754045009613,1.29360508918762,1.41338551044464,1.41295957565308,1.24188506603241,1.15246903896332,1.12850773334503,1.16808009147644,1.16686594486237,1.22639882564545,1.27619326114655,1.34437358379364,1.38923597335815,1.38923597335815
"11","Bahamas",5.62297916412354,5.62297916412354,5.62297916412354,5.62297916412354,5.10418033599854,5.44610404968262,5.64200353622437,6.44154024124146,6.75261354446411,6.87395811080933,7.0791130065918,7.24261951446533,7.72985458374023,7.60646677017212,7.28838062286377,7.00955772399902,7.03113317489624,7.25253772735596,7.57010841369629,7.8898344039917,8.05254173278809,8.43233871459961,9.03475475311279,9.40962886810303,9.65669631958008,9.91786766052246,9.7924337387085,9.87888431549072,10.2143077850342,10.4713869094849,10.622859954834,10.3759880065918,9.94276332855225,10.095760345459,10.1576366424561,10.471170425415,10.4281940460205,10.4127616882324,10.5215711593628,10.3438034057617,10.4924640655518,10.4924640655518
